Arquivo, Tempo de contrucao, Numero de comparacoes (construcao), Tempo de busca, Numero de operacoes (busca), Profundidade
50,26,356,15.6,556,6
100,45.4,795,22.2,1354,7
200,69.6,1968,34.6,3224,9
300,97.6,3095,50.8,5212,9
500,160.8,5772,79.8,9546,10
750,246.4,9279,126,15301,10
1000,339,13163,160.6,21429,11
1500,509,20893,283.8,34444,12
2000,717.2,29041,371.2,47946,12
3000,1121.6,46397,516.6,76412,13
5000,1922.8,83348,916.6,137000,13
7500,3160.8,133011,1524.4,219078,14
10000,4390.2,181397,2134.8,298677,15
12500,5719.8,235920,2785,388312,16
15000,6779.2,287322,3374.6,472544,15
20000,9501.2,397622,4693.8,647979,16
25000,12627.2,501512,6112.4,833221,17
30000,15349.8,618037,7543.4,1020734,17
40000,20321.4,943098,9565.8,1433800,17
50000,25512.2,1295734,11466.4,1869096,17
75000,38345.2,2257159,16955.8,3039809,18
100000,50138.4,3080119,22685,3955187,17
125000,62701.8,3999571,28288,5110263,18
150000,75626.6,5087902,32626.4,6310371,18
175000,87675.6,5861368,38249.6,7269287,18
200000,102386,6926734,45678,8583597,18
225000,114625,7890332,50538.4,9410449,18
250000,128052,8766054,56145.2,10497963,18
