Arquivo, Tempo de contrucao, Numero de comparacoes (construcao), Tempo de busca, Numero de operacoes (busca), Profundidade
50,24.2,363,16.2,555,6
100,36.6,825,22.8,1346,7
200,60.6,1962,37.8,3235,9
300,79.6,3128,55.4,5120,9
500,126.6,5830,87.8,9480,10
750,187.2,9329,132,15409,11
1000,252,13218,176,21570,11
1500,392.8,20977,276.2,34561,12
2000,542,29333,381.4,48222,12
3000,806,46583,582.4,76936,14
5000,1406.6,83713,1026.4,137373,14
7500,2204.2,132805,1632.2,218361,15
10000,2952.6,181803,2279.2,300238,15
12500,3749.4,235234,2875,387240,16
15000,4659,288513,3568.8,474377,16
20000,6386.4,400934,4971.2,659672,17
25000,8188.2,509695,6480,841082,17
30000,10062.6,618230,7920.2,1023684,17
40000,13296.2,1002996,10231.4,1455407,23
50000,16969.6,1496292,12195.2,1871583,25
75000,26618.8,2859193,17986.2,2945612,27
100000,37577.6,4288888,24076,4039468,29
125000,47486.8,5789234,29535.4,5088489,29
150000,59276.2,7337261,35086.2,6178640,30
175000,70213.2,8912339,41253.8,7376422,31
200000,81585.6,10524469,47360.4,8383882,31
225000,94558.6,12110753,53519.6,9536469,31
250000,105403,13764520,60316.8,10782453,32
